Name,Address,Postcode,City,Latitude,Longitude,Phone,Email,Monday hours,Tuesday hours,Wednesday hours,Thursday hours,Friday hours,Saturday hours,Sunday hours,Map link
Valladolid Tienda,Calle Santiago 19,47001,Valladolid,41.6523,-4.7245,+34 983 123 4567,valladolid@example.com,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,10:00-14:00,Closed,https://share.google/ZohVF8mcdmvC2O5TP
Vigo Puerto,Calle Príncipe 25,36202,Vigo,42.2406,-8.7207,+34 986 234 5678,vigo@example.com,09:00-14:00 16:30-20:30,09:00-14:00 16:30-20:30,09:00-14:00 16:30-20:30,09:00-14:00 16:30-20:30,09:00-14:00 16:30-20:30,10:00-14:00,Closed,https://share.google/gduLwAK3KfObiWN0w
Gijón Establecimiento,Calle Corrida 42,33206,Gijón,43.5453,-5.6619,+34 985 345 6789,gijon@example.com,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,10:00-14:00,Closed,https://share.google/hI5a2jO9ngTuBlxfW
Hospitalet Centro,Avenida Josep Tarradellas 123,8901,Hospitalet de Llobregat,41.3598,2.1109,+34 93 456 7890,hospitalet@example.com,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,10:00-14:00,Closed,https://share.google/197NqwyI0sVgLxnXM
A Coruña Punto,Calle Real 34,15003,A Coruña,43.3623,-8.4115,+34 981 567 8901,coruna@example.com,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,10:00-14:00,Closed,https://share.google/aBqdL5yQCAi3PtU1i
Granada Centro,Calle Reyes Católicos 41,18009,Granada,37.1773,-3.5986,+34 958 678 9012,granada@example.com,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,10:00-14:00,Closed,https://share.google/Oh0d6BwOASK0xa9x2
Vitoria Tienda,Calle Dato 28,1005,Vitoria-Gasteiz,42.8467,-2.6716,+34 945 789 0123,vitoria@example.com,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,10:00-14:00,Closed,https://share.google/wC3YIUx5rvrWQ06sb
Elche Punto,Calle Corredora 15,3203,Elche,38.2622,-0.6983,+34 966 890 1234,elche@example.com,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,10:00-14:00,Closed,https://share.google/Sv2H0Ji5fCZyOy635
Oviedo Establecimiento,Calle Uría 58,33003,Oviedo,43.3614,-5.8447,+34 985 901 2345,oviedo@example.com,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,10:00-14:00,Closed,https://share.google/u4rKkoN20S6Xvcfqj
Laveina Test Shop,Carrer de Balmes 340,08036,Barcelona,41.3980,2.1500,+34 93 000 0000,,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,10:00-14:00,Closed,
